time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554731541.602699,6,46,192.168.1.149,89.139.104.173,49276,443
1554731541.602942,6,31,192.168.1.149,89.139.104.173,49276,443
1554731553.024949,6,59,53.200.186.147,192.168.1.149,443,40692
1554731568.281343,6,31,182.131.104.161,192.168.1.149,443,59192
1554731568.281598,6,35,192.168.1.149,182.131.104.161,59192,443
1554731582.411303,6,59,53.200.186.147,192.168.1.149,443,40692
1554731582.411532,6,38,53.200.186.147,192.168.1.149,443,40692
1554731582.411595,6,46,53.200.186.147,192.168.1.149,443,40692
1554731582.411748,6,46,192.168.1.149,53.200.186.147,40692,443
1554731582.445764,6,469,192.168.1.149,53.200.186.147,40692,443
1554731582.822765,6,215,53.200.186.147,192.168.1.149,443,40692
1554731582.822812,6,59,53.200.186.147,192.168.1.149,443,40692
1554731609.035461,6,59,53.200.186.147,192.168.1.149,443,40692
1554731636.786115,6,59,53.200.186.147,192.168.1.149,443,40692
1554731636.786368,6,38,53.200.186.147,192.168.1.149,443,40692
1554731636.787268,6,46,53.200.186.147,192.168.1.149,443,40692
1554731636.787508,6,46,192.168.1.149,53.200.186.147,40692,443
1554731636.800545,17,41,192.168.1.149,192.168.1.1,52887,53
1554731636.800613,17,41,192.168.1.149,192.168.1.1,53103,53
1554731636.802376,17,305,192.168.1.1,192.168.1.149,53,52887
1554731636.814039,6,469,192.168.1.149,53.200.186.147,40692,443
1554731636.855852,17,317,192.168.1.1,192.168.1.149,53,53103
1554731637.197629,6,215,53.200.186.147,192.168.1.149,443,40692
1554731637.197871,6,59,53.200.186.147,192.168.1.149,443,40692
1554731663.207383,6,59,53.200.186.147,192.168.1.149,443,40692
1554731671.090634,17,41,192.168.1.149,192.168.1.1,37163,53
1554731671.09071,17,41,192.168.1.149,192.168.1.1,41511,53
1554731671.093228,17,305,192.168.1.1,192.168.1.149,53,37163
1554731671.093762,17,317,192.168.1.1,192.168.1.149,53,41511
1554731671.118729,6,588,192.168.1.149,33.97.235.251,48234,443
1554731671.146377,6,156,33.97.235.251,192.168.1.149,443,48234
1554731671.146802,6,51,192.168.1.149,33.97.235.251,48234,443
1554731671.148542,6,177,192.168.1.149,33.97.235.251,48234,443
1554731671.148593,6,1368,192.168.1.149,33.97.235.251,48234,443
1554731671.149137,6,283,192.168.1.149,33.97.235.251,48234,443
1554731671.168775,6,69,33.97.235.251,192.168.1.149,443,48234
1554731671.168992,6,38,192.168.1.149,33.97.235.251,48234,443
1554731671.170689,6,38,33.97.235.251,192.168.1.149,443,48234
1554731671.203565,6,433,33.97.235.251,192.168.1.149,443,48234
1554731671.203646,6,590,33.97.235.251,192.168.1.149,443,48234
1554731671.203701,6,46,33.97.235.251,192.168.1.149,443,48234
1554731671.204306,6,46,192.168.1.149,33.97.235.251,48234,443
1554731688.704734,6,59,53.200.186.147,192.168.1.149,443,40692
1554731688.704808,6,38,53.200.186.147,192.168.1.149,443,40692
1554731688.704991,6,46,53.200.186.147,192.168.1.149,443,40692
1554731688.705154,6,46,192.168.1.149,53.200.186.147,40692,443
1554731688.728872,6,468,192.168.1.149,53.200.186.147,40692,443
1554731689.010533,6,215,53.200.186.147,192.168.1.149,443,40692
1554731689.01076,6,59,53.200.186.147,192.168.1.149,443,40692
1554731696.259114,17,55,192.168.1.149,192.168.1.1,60136,53
1554731696.260698,17,55,192.168.1.1,192.168.1.149,53,60136
1554731697.407616,6,87,192.168.1.149,191.146.142.9,58900,80
1554731697.612422,6,148,191.146.142.9,192.168.1.149,80,58900
1554731708.003372,17,56,192.168.1.149,82.232.205.129,54976,123
1554731708.054996,17,56,82.232.205.129,192.168.1.149,123,54976
1554731715.122732,6,59,53.200.186.147,192.168.1.149,443,40692
1554731730.094263,6,46,192.168.1.149,33.97.235.251,48234,443
1554731730.117486,6,46,33.97.235.251,192.168.1.149,443,48234
1554731742.364049,6,59,53.200.186.147,192.168.1.149,443,40692
1554731742.364317,6,38,53.200.186.147,192.168.1.149,443,40692
1554731742.364627,6,46,53.200.186.147,192.168.1.149,443,40692
1554731742.364845,6,46,192.168.1.149,53.200.186.147,40692,443
1554731742.388792,6,469,192.168.1.149,53.200.186.147,40692,443
1554731742.873166,6,215,53.200.186.147,192.168.1.149,443,40692
1554731742.873207,6,59,53.200.186.147,192.168.1.149,443,40692
